"Historical National Population Estimates:  July 1, 1900 to July 1, 1999",,,
"Source: Population Estimates Program, Population Division, U.S. Census Bureau ",,,
"Internet Release Date:  April 11, 2000",,,
"Revised date:  June 28, 2000",,,
,,,
,,,
Date,National Population,Population Change,Average Annual Percent Change
1-Jul-25,"115,829,000","1,720,000",1.5
1-Jul-24,"114,109,000","2,162,000",1.91
1-Jul-23,"111,947,000","1,898,000",1.71
1-Jul-22,"110,049,000","1,511,000",1.38
1-Jul-21,"108,538,000","2,077,000",1.93
1-Jul-20,"106,461,000","1,947,000",1.85
1-Jul-19,"104,514,000","1,306,000",1.26
1-Jul-18,"103,208,000","-60,000",-0.06
1-Jul-17,"103,268,000","1,307,000",1.27
1-Jul-16,"101,961,000","1,415,000",1.4
1-Jul-15,"100,546,000","1,435,000",1.44
1-Jul-14,"99,111,000","1,886,000",1.92
1-Jul-13,"97,225,000","1,890,000",1.96
1-Jul-12,"95,335,000","1,472,000",1.56
1-Jul-11,"93,863,000","1,456,000",1.56
1-Jul-10,"92,407,000","1,917,000",2.1
1-Jul-09,"90,490,000","1,780,000",1.99
1-Jul-08,"88,710,000","1,702,000",1.94
1-Jul-07,"87,008,000","1,558,000",1.81
1-Jul-06,"85,450,000","1,628,000",1.92
1-Jul-05,"83,822,000","1,656,000",2
1-Jul-04,"82,166,000","1,534,000",1.88
1-Jul-03,"80,632,000","1,469,000",1.84
1-Jul-02,"79,163,000","1,579,000",2.01
1-Jul-01,"77,584,000","1,490,000",1.94
1-Jul-00,"76,094,000",,
,,,
NOTE:  ,,,
National population data for the years 1900 to 1949 exclude the,,,
population residing in Alaska and Hawaii.  National population data for the,,,
years 1940 to 1979 cover the resident population plus Armed Forces overseas. ,,,
National population data for all other years cover only the resident,,,
population.  Estimates of the population including Armed Forces,,,
overseas are as follows:,,,
,,,
"1919  105,063,000",,,
"1918  104,550,000",,,
"1917  103,414,000",,,
,,,
National population data for the years 1900 to 1929 are only available,,,
rounded to the nearest thousand.,,,
,,,
"Data for this table comes from Current Population Reports, Series P-25, Nos.",,,
"311, 917, 1095, and our National Population Estimates web page.  All",,,
Population Division publications may be obtained by writing to Population,,,
"Division, U.S. Bureau of the Census, Washington, D.C. 20233; calling the",,,
Statistical Information Staff at (301)457-2422; or by e-mailing a message to,,,
POP@CENSUS.GOV (please include telephone number).,,,
